Simulation Results - 100 runs
================================================================================

Run   94: Team DPAV: 39698.327 | Evanescia: 24367.776 | YaoGuang: 8070.202 | HuoHuo: 19.919 | ElationMC: 6555.786
Run   95: Team DPAV: 39023.838 | Evanescia: 23906.743 | YaoGuang: 7809.187 | HuoHuo: 19.919 | ElationMC: 6603.344
Run   96: Team DPAV: 38587.315 | Evanescia: 23679.291 | YaoGuang: 7702.181 | HuoHuo: 19.919 | ElationMC: 6501.279
Run   97: Team DPAV: 38701.815 | Evanescia: 23594.423 | YaoGuang: 7868.883 | HuoHuo: 20.799 | ElationMC: 6541.883
Run   98: Team DPAV: 39007.539 | Evanescia: 23764.238 | YaoGuang: 7957.029 | HuoHuo: 19.919 | ElationMC: 6581.708
Run   99: Team DPAV: 38916.912 | Evanescia: 23536.010 | YaoGuang: 8068.391 | HuoHuo: 20.799 | ElationMC: 6659.977
Run  100: Team DPAV: 42533.173 | Evanescia: 26409.329 | YaoGuang: 8436.092 | HuoHuo: 20.355 | ElationMC: 6947.479

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 39220.286
Average Evanescia DPAV: 23980.001
Average YaoGuang DPAV: 7972.604
Average HuoHuo DPAV: 20.412
Average ElationMC DPAV: 6565.564

Min Team DPAV: 37905.085
Max Team DPAV: 43087.550
