Simulation Results - 100 runs
================================================================================

Run   96: Team DPAV: 15117.685 | Feixiao: 7661.192 | MortenaxBlade: 4135.699 | Cipher: 3139.963 | HuoHuo: 54.002
Run   97: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   98: Team DPAV: 15818.167 | Feixiao: 7633.633 | MortenaxBlade: 4712.530 | Cipher: 3291.076 | HuoHuo: 54.100
Run   99: Team DPAV: 15610.082 | Feixiao: 7488.741 | MortenaxBlade: 4722.168 | Cipher: 3219.426 | HuoHuo: 52.919
Run  100: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 15247.911
Average Feixiao DPAV: 7333.496
Average MortenaxBlade DPAV: 4624.517
Average Cipher DPAV: 3112.673
Average HuoHuo DPAV: 53.301

Min Team DPAV: 13705.317
Max Team DPAV: 15895.021
